KEY,ENGLISH,KOREAN,CHECKED
m.loadingtip.5,"Rumor has it Viktor invented a plort-cloning technology, and then destroyed it.","소문에 의하면, Viktor는 보석 복제 기술을 연구하고, 그 기술을 파괴했다고합니다.",
m.loadingtip.6,Rumor has it Mochi Miles hasn’t spoken to her father in years.,"소문에 의하면, Mochi Miles가 몇년동안 그녀의 아버지에게 이야기하지 않았다고 한다.",
m.loadingtip.7,rOOmr hAZ eet BOb hOomin. plS chIKKn?,소무네 으하먼 BOb은 닝겐. 칰킨 점 줘여?,
m.loadingtip.8,"No one has seen Hobson in years. Some say he is traveling to the furthest reaches of the Far, Far Range.",Hobson을 근 몇년동안 본사람은 없습니다. 어떤 사람들이 말하길 그는 멀리 아주 먼 방목장의 가장 멀리 있는 목장으로 여행을 간다고 합니다.,
m.loadingtip.9,Use silos to store plorts until they are in high demand on the plort market.,보석 시장에서 보석 수요가 높아질 때 까지 저장고를 사용하여 보석을 모아두세요,
m.loadingtip.10,You’ll need to purchase a water tank before you can vac up fresh water.,물을 흡입하기 위해서는 물탱크를 구입해야합니다.,
m.loadingtip.11,The vile tarr are formed when a largo eats a plort unlike its own. Watch out!,느림보가 자기 종이 아닌 보석을 먹을 때 극도로 불쾌한 타르가 만들어집니다. 주의하세요!,
m.loadingtip.12,The tarr are more common and survive longer at night. Be careful.,타르는 낮보다 밤에 더 흔하게 보이고 오래 살아남습니다. 조심하세요.,
m.loadingtip.13,The Indigo Quarry is a great place to discover rare veggies.,인디고 채석장은 귀한 야채를 구하기 매우 좋은 장소입니다.,
m.loadingtip.14,The Moss Blanket has more fruit trees than anywhere else on the range.,Moss Blanket에는 방목지 내 다른 어떤곳 보다 과일 나무가 많습니다.,
m.loadingtip.15,"Fresh water can prevent tarr from cloning and eventually, destroy them.","민물로 타르가 증식하는 것을 막고, 결국에는 타르를 파괴할 수 있습니다.",
m.loadingtip.16,No one knows who or what created the ancient slime gates that are found on the range.,"방목장에서 발견할 수 있는 슬라임 게이트를 누가, 혹은 무엇이 만들었는지는 아무도 모릅니다.",
m.loadingtip.17,A gordo slime will eat until it bursts.,뚱보 슬라임은 터지기 전까지 먹일 수 있습니다.,
m.loadingtip.18,Mochi Miles claims she once caught a gold slime.,Mochi Miles는 그녀 자신이 황금 슬라임을 잡아봤다고 주장합니다.,
m.loadingtip.19,Feeding a slime their favorite food results in double the plorts!,슬라임에게 그들이 좋아하는 음식을 주면 보석이 2배로 나옵니다!,
m.loadingtip.20,A crazy slime scientist once proposed creating cube-shaped slimes. But that’s just silly.,한때 한 미친 슬라임 과학자가 육각모양 슬라임을 만들 것을 제안했습니다. 하지만 그건 그냥 바보같은 짓입니다.,
l.language,Language:,언어:,
l.lang_en,English,한국어,
l.lang_de,Deutsch (German),독일어 (독일),
l.lang_es,Español (Spanish),에스파냐어 (스페인),
l.lang_fr,Français (French),프랑스어 (프랑스),
l.lang_ru,Русский (Russian),러시아어 (러시아),
l.lang_zh,中文 (Chinese),,
m.herostat.sold_plorts,Has Sold {0} Plorts on the Plort Market!,,
l.herostat.newbucks_earned,Total Newbucks Earned,,
l.herostat.game_progress,Game Progress,,
l.herostat.total_plorts,Total Plorts Sold,,
m.rich_presence.in_desert,Exploring The Glass Desert,,
m.rich_presence.in_moss,Exploring The Moss Blanket,,
m.rich_presence.in_quarry,Exploring The Indigo Quarry,,
m.rich_presence.in_reef,Exploring The Reef,,
m.rich_presence.in_ruins,Exploring The Ruins,,
m.rich_presence.on_ranch,Tending The Ranch,,
m.rich_presence.main_menu,Preparing For Adventure!,,
